County,State,ST,Fips,Precincts,Votes,Democrats 08,Democrats 12,Republicans 08,Republicans 12,Republicans Perc 16,Democrats Perc 16,Republicans Perc 12,Democrats Perc 12,Votes Trump,Votes Clinton
"Carlton County, Minnesota",Minnesota,MN,27017,38,18059,11501,11389,6549,6586,45.1852262,46.84644775,35.72358429,61.77587329,8160,8460
"Morris County, Kansas",Kansas,KS,20127,16,2568,907,718,1875,1773,69.70404984,22.81931464,69.20374707,28.02498048,1790,586
"Okfuskee County, Oklahoma",Oklahoma,OK,40107,13,3933,1480,1256,2643,2335,70.96364099,23.97660819,65.02367029,34.97632971,2791,943
"Roosevelt County, Montana",Montana,MT,30085,12,3502,2564,2086,1473,1514,49.17190177,42.94688749,41.23093682,56.80827887,1722,1504
"Monroe County, New York",New York,NY,36055,812,320164,207371,193501,144262,133362,40.25155858,54.3668245,39.95111035,57.96688565,128871,174063
"Mecklenburg County, Virginia",Virginia,VA,51117,24,15177,7127,6921,7817,7973,54.57600316,43.2957765,52.88187305,45.90435763,8283,6571
"Haralson County, Georgia",Georgia,GA,13143,12,11317,2248,1789,8658,8446,84.64257312,13.02465318,81.39938319,17.24171164,9579,1474
"Oxford County, Maine",Maine,ME,23017,39,31094,17940,16330,12863,11996,52.14510838,39.14581591,40.774983,55.50645819,16214,12172
"Aleutians East Borough, Alaska",Alaska,AK,2013,,,,,,,,,,,,
"Larue County, Kentucky",Kentucky,KY,21123,12,6367,1913,1733,4153,3911,75.37301712,20.07224753,67.85218598,30.06592644,4799,1278
"Buncombe County, North Carolina",North Carolina,NC,37021,80,134507,69716,70625,52494,54701,41.14209669,55.71234211,42.83689387,55.3071357,55339,74937
"Cumberland County, Pennsylvania",Pennsylvania,PA,42041,118,115068,48306,44367,63739,64809,57.05235165,38.4833316,58.48448752,40.0373599,65649,44282
"Berkeley County, South Carolina",South Carolina,SC,45015,78,78919,27755,28542,36205,38475,56.03593558,38.63708359,56.41909231,41.85350832,44223,30492
"Johnson County, Indiana",Indiana,IN,18081,135,66229,21553,17260,36487,39513,68.63458606,26.14866599,68.16817335,29.77710303,45456,17318
"Wells County, Indiana",Indiana,IN,18179,22,13123,4403,3436,8504,9256,76.19446773,19.69823973,71.55778894,26.56358717,9999,2585
"Brown County, Wisconsin",Wisconsin,WI,55009,97,127497,67269,62526,55854,64836,52.70084786,41.85039648,50.28853313,48.49683544,67192,53358
"Florence County, Wisconsin",Wisconsin,WI,55037,8,2651,1134,953,1512,1645,71.55790268,25.12259525,62.66666667,36.3047619,1897,666
"Simpson County, Mississippi",Mississippi,MS,28127,23,11416,4817,4723,7641,7424,64.75998598,33.9085494,60.60902931,38.55824965,7393,3871
"Washington County, Arkansas",Arkansas,AR,5143,151,79543,29021,28236,37963,39688,50.81276794,40.60193857,56.32699404,40.07380074,40418,32296
"Merced County, California",California,CA,6047,269,42523,34031,33005,28704,27581,43.47294405,51.39806693,44.44462349,53.1849751,18486,21856
